Crop,Soil_Type,Season,Region,N,P,K,pH,Rainfall,Temperature,Humidity,Yield_kg_per_acre,Productivity,output
Maize,Red,Zaid,South,94,22,26,5.53,136.8,30.1,46.7,17.81,Low,0
Sugarcane,Loamy,Rabi,South,47,39,65,5.13,134.8,35.9,40.9,20.57,Low,0
Rice,Clay,Kharif,Central,66,26,87,6.17,99.5,36.7,44.6,26.68,Low,0
Rice,Red,Rabi,West,170,78,135,7.46,283.8,25.6,73.4,33.43,Moderate,1
Wheat,Red,Rabi,East,194,115,147,5.82,262.6,23.7,48.6,26.86,Moderate,1
Rice,Clay,Rabi,South,170,112,267,6.92,331.2,19.1,78.8,37.83,High,1
Rice,Clay,Rabi,North,61,20,59,5.11,184.9,31.3,51.3,20.01,Low,0
Cotton,Black,Kharif,West,82,33,28,6.2,73.2,31.6,53.9,20.06,Low,0
Maize,Clay,Zaid,West,139,103,145,5.93,272.8,24.7,62.3,31.38,Moderate,1
Cotton,Black,Rabi,North,290,167,284,7.25,358.2,19.2,89,43.03,High,1
Maize,Red,Kharif,East,42,30,63,5.14,172,32.7,28,15.29,Low,0
Maize,Sandy,Rabi,South,131,75,89,6.91,214.4,30.6,63.9,23.52,Moderate,1
Wheat,Red,Zaid,East,262,124,163,6.7,408.7,25.7,88.1,44.72,High,1
Wheat,Black,Zaid,North,194,94,137,6.11,282.9,25.2,40.3,27.02,Moderate,1
Wheat,Black,Zaid,South,181,155,270,7.78,372.6,19.5,73.9,32.07,High,1
Maize,Red,Rabi,South,102,69,93,5.82,194.7,25.8,72.9,31.22,Moderate,1
Sugarcane,Sandy,Zaid,South,107,41,82,5.42,85.8,35.4,37,26.58,Low,0
Sugarcane,Black,Kharif,West,269,115,205,7.47,327.6,18.4,75,42.94,High,1
Maize,Loamy,Zaid,North,224,124,159,6.76,403.6,20.4,64.5,41.47,High,1
Sugarcane,Red,Rabi,Central,178,83,151,5.81,276.8,26.2,67.8,32.85,Moderate,1
Cotton,Red,Kharif,North,175,136,150,7.19,446.3,23.6,81.1,33.4,High,1
Millets,Red,Kharif,Central,106,105,159,6.27,238.6,23.2,55,32.59,Moderate,1
